review_id,project_id,reviewer_id,reviewee_id,rating,comment_length
1,1,27,1582,5,229
2,2,129,1538,2,233
3,3,120,1598,4,196
4,4,143,1637,4,132
5,5,125,1583,5,200
6,6,49,1833,5,109
7,7,159,1547,4,143
8,8,207,1263,5,29
9,9,153,1416,5,117
10,10,205,1007,3,72
11,11,78,1055,4,186
12,12,80,1141,2,63
13,13,116,1068,4,231
14,14,163,1808,4,177
15,15,52,1474,4,54
16,16,43,1262,2,29
17,17,35,1509,5,70
18,18,47,1325,4,21
19,19,143,1191,4,224
20,20,146,1045,5,104
21,21,105,1432,3,76
22,22,128,1874,5,79
23,23,22,1416,3,235
24,24,69,1767,4,21
25,25,96,1773,4,204
26,26,32,1847,5,191
27,27,194,1652,4,117
28,28,124,1293,5,93
29,29,36,1053,3,41
30,30,159,1213,2,227
31,31,166,1551,5,147
32,32,29,1839,4,50
33,33,95,1901,4,78
34,34,62,1359,4,150
35,35,61,1660,4,190
36,36,138,1592,5,68
37,37,180,1607,5,77
38,38,191,1665,4,111
39,39,91,1084,4,104
40,40,220,1111,2,124
41,41,155,1459,5,88
42,42,157,1957,5,203
43,43,123,1325,4,176
44,44,44,1486,2,176
45,45,4,1822,5,81
46,46,171,1118,4,189
47,47,23,1729,4,242
48,48,118,1623,4,233
49,49,91,1842,4,134
50,50,52,1156,5,208
51,51,112,1351,5,154
52,52,8,1330,4,238
53,53,216,1605,4,123
54,54,10,1537,3,97
55,55,171,1978,5,111
56,56,127,1200,4,54
57,57,145,1490,4,35
58,58,68,1963,3,95
59,59,112,1963,5,52
60,60,194,1178,2,178
61,61,73,1982,2,64
62,62,98,1758,4,51
63,63,90,1790,4,46
64,64,193,1022,4,191
65,65,99,1078,4,92
66,66,2,1562,4,190
67,67,205,1854,5,165
68,68,171,1408,4,114
69,69,21,1596,3,185
70,70,205,1254,5,194
71,71,93,1620,2,144
72,72,209,1077,4,120
73,73,7,1354,2,174
74,74,75,1045,5,166
75,75,49,1961,5,211
76,76,155,1778,5,226
77,77,171,1586,2,115
78,78,214,1303,5,53
79,79,7,1712,2,87
80,80,142,1474,4,105
81,81,77,1678,4,157
82,82,108,1417,5,204
83,83,207,1615,4,20
84,84,3,1982,4,71
85,85,66,1142,4,72
86,86,86,1771,4,124
87,87,60,1138,5,249
88,88,197,1025,4,81
89,89,98,1113,5,30
90,90,162,1239,5,155
91,91,138,1877,5,81
92,92,77,1310,5,23
93,93,207,1249,5,249
94,94,32,1412,2,134
95,95,58,1384,4,151
96,96,181,1520,5,23
97,97,163,1965,5,53
98,98,173,1769,3,72
99,99,150,1811,4,163
100,100,84,1475,3,174
101,101,212,1691,4,101
102,102,82,1666,5,174
103,103,124,1614,5,185
104,104,220,1746,4,204
105,105,79,1666,4,207
106,106,201,1217,4,241
107,107,209,1383,5,78
108,108,89,1289,5,50
109,109,134,1868,4,99
110,110,124,1398,5,24
111,111,201,1962,5,238
112,112,142,1065,5,63
113,113,9,1988,3,88
114,114,208,1914,5,91
115,115,204,1992,5,31
116,116,3,1962,5,152
117,117,6,1158,2,89
118,118,76,1257,4,24
119,119,139,1716,4,58
120,120,81,1699,4,174
121,121,77,1613,4,200
122,122,43,1586,4,142
123,123,95,1957,5,41
124,124,111,1304,2,213
125,125,175,1695,5,247
126,126,136,1240,5,22
127,127,203,1901,4,135
128,128,68,1529,5,182
129,129,200,1208,5,242
130,130,148,1337,5,107
131,131,117,1722,5,156
132,132,138,1682,4,192
133,133,209,1455,4,148
134,134,159,1717,5,83
135,135,193,1506,5,218
136,136,215,1996,4,65
137,137,99,1378,4,127
138,138,6,1370,4,22
139,139,130,1204,4,137
140,140,146,1374,2,135
141,141,182,1311,5,233
142,142,67,1172,4,57
143,143,87,1598,3,111
144,144,73,1217,2,210
145,145,140,1980,5,141
146,146,62,1140,5,78
147,147,168,1949,3,64
148,148,37,1533,5,110
149,149,149,1134,3,146
150,150,163,1125,3,59
151,151,196,1458,5,209
152,152,34,1230,5,192
153,153,145,1580,3,156
154,154,114,1031,5,190
155,155,50,1533,4,41
156,156,150,1201,4,111
157,157,159,1061,5,58
158,158,156,1415,4,34
159,159,136,1022,2,137
160,160,203,1039,5,60
161,161,108,1623,4,106
162,162,182,1074,5,159
163,163,93,1607,3,28
164,164,91,1169,4,135
165,165,205,1214,5,111
166,166,115,1518,4,200
167,167,93,1945,5,31
168,168,146,1517,5,209
169,169,144,1163,4,111
170,170,205,1464,4,169
171,171,15,1165,4,123
172,172,136,1302,4,41
173,173,48,1408,4,224
174,174,129,1149,4,209
175,175,95,1363,4,61
176,176,6,1288,2,41
177,177,168,1381,3,196
178,178,6,1635,3,216
179,179,64,1046,4,92
180,180,200,1567,5,155
181,181,105,1671,5,94
182,182,115,1988,4,126
183,183,168,1061,5,144
184,184,171,1942,4,106
185,185,143,1845,4,53
186,186,124,1666,5,63
187,187,93,1209,3,25
188,188,143,1454,2,112
189,189,144,1527,3,149
190,190,89,1500,5,172
191,191,128,1827,4,101
192,192,205,1943,4,183
193,193,74,1178,4,230
194,194,67,1299,4,57
195,195,121,1794,3,174
196,196,199,1625,3,87
