task_id,project_id,priority,status,due_in_days,delay_days
1,1,MEDIUM,DONE,14,5.28
2,1,LOW,DONE,110,9.59
3,1,LOW,DONE,41,11.15
4,1,MEDIUM,DONE,142,7.64
5,1,HIGH,DONE,58,8.74
6,1,HIGH,DONE,134,10.08
7,1,MEDIUM,DONE,63,5.99
8,1,MEDIUM,DONE,55,9.0
9,1,MEDIUM,DONE,74,6.85
10,1,MEDIUM,DONE,71,8.71
11,1,HIGH,DONE,121,7.28
12,1,HIGH,DONE,85,7.36
13,1,MEDIUM,DONE,123,10.96
14,1,HIGH,DONE,45,8.13
15,2,LOW,DONE,72,9.13
16,2,LOW,DONE,167,9.45
17,2,MEDIUM,DONE,60,6.22
18,2,LOW,DONE,128,5.62
19,2,HIGH,DONE,136,12.36
20,2,MEDIUM,DONE,82,10.27
21,2,LOW,DELAYED,160,3.33
22,2,HIGH,DELAYED,21,6.6
23,2,MEDIUM,DELAYED,122,7.55
24,2,LOW,DELAYED,81,9.46
25,2,MEDIUM,BLOCKED,86,9.98
26,2,LOW,BLOCKED,126,7.33
27,2,MEDIUM,BLOCKED,105,2.87
28,2,MEDIUM,IN_PROGRESS,117,8.51
29,2,MEDIUM,TODO,168,10.1
30,2,LOW,TODO,66,5.46
31,3,MEDIUM,DONE,87,9.4
32,3,HIGH,DONE,49,9.47
33,3,MEDIUM,DONE,9,13.71
34,3,MEDIUM,DONE,3,8.17
35,3,LOW,DONE,13,10.8
36,3,MEDIUM,DONE,12,6.31
37,3,MEDIUM,DELAYED,100,8.46
38,3,HIGH,DELAYED,82,7.47
39,3,LOW,BLOCKED,117,11.22
40,3,HIGH,TODO,104,12.22
41,4,MEDIUM,DONE,15,9.63
42,4,LOW,DONE,21,3.41
43,4,LOW,DONE,61,11.65
44,4,HIGH,DONE,1,7.9
45,4,MEDIUM,DONE,17,11.26
46,4,MEDIUM,DONE,33,9.15
47,4,MEDIUM,DONE,20,9.81
48,4,HIGH,DONE,41,5.8
49,4,MEDIUM,DELAYED,1,9.59
50,4,MEDIUM,DELAYED,13,9.98
51,4,HIGH,DELAYED,56,6.79
52,4,LOW,DELAYED,34,4.89
53,4,MEDIUM,DELAYED,50,8.54
54,4,HIGH,DELAYED,6,4.32
55,4,LOW,DELAYED,9,2.21
56,4,MEDIUM,DELAYED,39,8.2
57,4,HIGH,BLOCKED,21,9.53
58,4,MEDIUM,BLOCKED,10,10.25
59,4,MEDIUM,BLOCKED,38,3.42
60,5,HIGH,DONE,48,5.63
61,5,MEDIUM,DONE,16,5.45
62,5,MEDIUM,DONE,2,10.81
63,5,LOW,DONE,33,9.41
64,5,LOW,DONE,19,7.1
65,5,MEDIUM,DONE,31,8.03
66,5,MEDIUM,DONE,53,13.64
67,5,MEDIUM,DONE,27,8.19
